id,type,category,name,translation,file,sounds,error,ini
2028,PACENOTE,ADJECTIVES,TOACUTE,Auf Spitz,_acute.ogg,3,,pacenotes/Rbr.ini/adjectives/Extended.ini
2029,PACENOTE,OBSTACLES,CONTINUESOVERCREST,Über Kuppe,continues_over_crest.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/obstacles/Extended.ini
2029,PACENOTE,OBSTACLES,CONTINUESOVERCREST,Über Kuppe,continues_over_crest.ogg,2,,pacenotes/Rbr.ini/obstacles/Extended.ini
2030,PACENOTE,LINKS,IMMEDIATE,Sofort,immediate.ogg,1,,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
2030,PACENOTE,LINKS,IMMEDIATE,Sofort,immediate.ogg,1,,pacenotes/Rbr.ini/links/Extended.ini
2031,PACENOTE,ADJECTIVES,NIPS,Verengt Spät Hart,nips.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
2031,PACENOTE,ADJECTIVES,NIPS,Verengt Spät Hart,nips.ogg,2,,pacenotes/Rbr.ini/adjectives/Extended.ini
2032,PACENOTE,ADJECTIVES,OPENSLITTLE,Öffnet Leicht,opens_abit.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
2032,PACENOTE,ADJECTIVES,OPENSLITTLE,Öffnet Leicht,opens_abit.ogg,2,,pacenotes/Rbr.ini/adjectives/Extended.ini
2033,PACENOTE,ADJECTIVES,OPENSLONG,Öffnet Lang,opens_long.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
2033,PACENOTE,ADJECTIVES,OPENSLONG,Öffnet Lang,opens_long.ogg,2,,pacenotes/Rbr.ini/adjectives/Extended.ini
2034,PACENOTE,ADJECTIVES,OPENSVERYLONG,Öffnet Sehr Spät,opens_verylong.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
2034,PACENOTE,ADJECTIVES,OPENSVERYLONG,Öffnet Sehr Spät,opens_verylong.ogg,2,,pacenotes/Rbr.ini/adjectives/Extended.ini
2035,PACENOTE,ADJECTIVES,OPENSEARLY,Öffnet Früh,opens_early.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
2035,PACENOTE,ADJECTIVES,OPENSEARLY,Öffnet Früh,opens_early.ogg,2,,pacenotes/Rbr.ini/adjectives/Extended.ini
2036,PACENOTE,ADJECTIVES,OPENSATJUNCTION,Öffnet An Kreuzung,opens_at_junction.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
