id,type,name,translation,file,sounds,error,ini
-1,PACENOTE,TIGHTENS,Tightens,kirraa1.ogg,1,,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,PACENOTE,TIGHTENSBAD,Tightens Bad,kirraa_kirraa.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,PACENOTE,WIDEOUT,Wide Out,levenee.ogg,1,,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
0,PACENOTE,ONE_LEFT,HP Left,vasen_tiukka1.ogg,2,,pacenotes/Rbr.ini/packages/Numeric.ini/corners/Numeric.ini
1,PACENOTE,SQUARE_LEFT,2 Left,vasen_kaks1.ogg,2,,pacenotes/Rbr.ini/packages/Numeric.ini/corners/Numeric.ini
2,PACENOTE,THREE_LEFT,3 Left,vasen_kolme1.ogg,2,,pacenotes/Rbr.ini/packages/Numeric.ini/corners/Numeric.ini
3,PACENOTE,FOUR_LEFT,4 Left,vasen_nelja1.ogg,2,,pacenotes/Rbr.ini/packages/Numeric.ini/corners/Numeric.ini
4,PACENOTE,FIVE_LEFT,5 Left,vasen_viis1.ogg,2,,pacenotes/Rbr.ini/packages/Numeric.ini/corners/Numeric.ini
5,PACENOTE,SIX_LEFT,6 Left,vasen_kuus1.ogg,3,,pacenotes/Rbr.ini/packages/Numeric.ini/corners/Numeric.ini
6,PACENOTE,SIX_RIGHT,6 Right,oikee_kuus1.ogg,2,,pacenotes/Rbr.ini/packages/Numeric.ini/corners/Numeric.ini
7,PACENOTE,FIVE_RIGHT,5 Right,oikee_viis1.ogg,2,,pacenotes/Rbr.ini/packages/Numeric.ini/corners/Numeric.ini
8,PACENOTE,FOUR_RIGHT,4 Right,oikee_nelja1.ogg,2,,pacenotes/Rbr.ini/packages/Numeric.ini/corners/Numeric.ini
9,PACENOTE,THREE_RIGHT,3 Right,oikee_kolme1.ogg,2,,pacenotes/Rbr.ini/packages/Numeric.ini/corners/Numeric.ini
10,PACENOTE,SQUARE_RIGHT,2 Right,oikee_kaks1.ogg,2,,pacenotes/Rbr.ini/packages/Numeric.ini/corners/Numeric.ini
11,PACENOTE,ONE_RIGHT,HP Right,oikee_tiukka1.ogg,2,,pacenotes/Rbr.ini/packages/Numeric.ini/corners/Numeric.ini
12,PACENOTE,TWISTY,Twisty,suoraksi.ogg,1,,pacenotes/Rbr.ini/packages/Extended.ini/line/Extended.ini
14,PACENOTE,NARROWS,Narrows,sumppu.ogg,1,,pacenotes/Rbr.ini/packages/Extended.ini/additional/Extended.ini
15,PACENOTE,WIDEOUT,Wide Out,levenee.ogg,1,,pacenotes/Rbr.ini/packages/Extended.ini/additional/Extended.ini
16,PACENOTE,OVERCREST,Over Crest,yli_nypyn.ogg,1,,pacenotes/Rbr.ini/packages/Extended.ini/obstacles/Extended.ini
17,PACENOTE,FORD,Ford,vetta.ogg,1,,pacenotes/Rbr.ini/packages/Extended.ini/obstacles/Extended.ini
18,PACENOTE,CARE,Care,varo1.ogg,1,,pacenotes/Rbr.ini/packages/Extended.ini/cautions/Extended.ini
19,PACENOTE,BUMP,Bump,pomppu.ogg,1,,pacenotes/Rbr.ini/packages/Extended.ini/obstacles/Extended.ini
20,PACENOTE,JUMP,Jump,hyppy1.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/obstacles/Extended.ini
22,PACENOTE,FINISH,Finish,maali.ogg,1,,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
25,PACENOTE,FLAT_RIGHT,Flat Right,oikee_tays1.ogg,2,,pacenotes/Rbr.ini/packages/Numeric.ini/corners/Numeric.ini
26,PACENOTE,FLAT_LEFT,Flat Left,vasen_tays1.ogg,2,,pacenotes/Rbr.ini/packages/Numeric.ini/corners/Numeric.ini
27,PACENOTE,BRIDGE,Bridge,silta.ogg,1,,pacenotes/Rbr.ini/packages/Extended.ini/obstacles/Extended.ini
28,PACENOTE,GOSTRAIGHT,Go Straight,suoraan.ogg,1,,pacenotes/Rbr.ini/packages/Extended.ini/line/Extended.ini
