id,type,name,translation,file,sounds,ini
-1,RANGE,400,,400.ogg,1,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,400,,400.ogg,1,ranges/Extended.ini/extended/Extended.ini
-1,RANGE,400,,,0,packages/Rbr.ini/rbr/Rbr.ini
-1,RANGE,400,,p400,1,Audio/NumOther.ini
-1,RANGE,450,,450.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,450,,450.ogg,1,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,450,,450.ogg,1,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,450,,450.ogg,1,ranges/Extended.ini/extended/Extended.ini
-1,PLACE,5,,fifth,1,Audio/NumOther.ini
-1,RANGE,50,,50.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,50,,50.ogg,1,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,50,,50.ogg,1,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,50,,50.ogg,1,ranges/Extended.ini/extended/Extended.ini
-1,RANGE,50,,,0,packages/Rbr.ini/rbr/Rbr.ini
-1,RANGE,50,,p50,1,Audio/NumOther.ini
-1,RANGE,500,,500.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,500,,500.ogg,1,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,500,,500.ogg,1,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,500,,500.ogg,1,ranges/Extended.ini/extended/Extended.ini
-1,RANGE,500,,,0,packages/Rbr.ini/rbr/Rbr.ini
-1,RANGE,500,,p500,1,Audio/NumOther.ini
-1,PLACE,6,,sixth,1,Audio/NumOther.ini
-1,RANGE,60,,60.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,60,,60.ogg,1,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,60,,60.ogg,1,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,60,,60.ogg,1,ranges/Extended.ini/extended/Extended.ini
-1,RANGE,600,,600.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,600,,600.ogg,1,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,600,,600.ogg,1,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,600,,600.ogg,1,ranges/Extended.ini/extended/Extended.ini
-1,RANGE,600,,,0,packages/Rbr.ini/rbr/Rbr.ini
-1,RANGE,600,,p600,1,Audio/NumOther.ini
-1,PLACE,7,,seventh,1,Audio/NumOther.ini
-1,RANGE,70,,70.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,70,,70.ogg,1,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,70,,70.ogg,1,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,70,,70.ogg,1,ranges/Extended.ini/extended/Extended.ini
-1,RANGE,70,,,0,packages/Rbr.ini/rbr/Rbr.ini
-1,RANGE,70,,p70,1,Audio/NumOther.ini
-1,RANGE,700,,700.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,700,,700.ogg,1,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,700,,700.ogg,1,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,700,,700.ogg,1,ranges/Extended.ini/extended/Extended.ini
-1,RANGE,700,,,0,packages/Rbr.ini/rbr/Rbr.ini
-1,RANGE,700,,p700,1,Audio/NumOther.ini
-1,PLACE,8,,eighth,1,Audio/NumOther.ini
-1,RANGE,80,,80.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,80,,80.ogg,1,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,80,,80.ogg,1,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,80,,80.ogg,1,ranges/Extended.ini/extended/Extended.ini
-1,RANGE,800,,800.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,800,,800.ogg,1,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,800,,800.ogg,1,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,800,,800.ogg,1,ranges/Extended.ini/extended/Extended.ini
-1,RANGE,800,,,0,packages/Rbr.ini/rbr/Rbr.ini
-1,RANGE,800,,p800,1,Audio/NumOther.ini
-1,PLACE,9,,ninth,1,Audio/NumOther.ini
-1,RANGE,900,,900.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,900,,900.ogg,1,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,900,,900.ogg,1,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,900,,900.ogg,1,ranges/Extended.ini/extended/Extended.ini
-1,RANGE,900,,,0,packages/Rbr.ini/rbr/Rbr.ini
-1,RANGE,900,,p900,1,Audio/NumOther.ini
-1,PACENOTE,AND,Und,and.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,PACENOTE,AND,Und,and.ogg,1,pacenotes/Rbr.ini/links/Extended.ini
-1,PACENOTE,AND,Und,and.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/links/Extended.ini
-1,PACENOTE,AND,Und,and.ogg,1,pacenotes/Rbr-Enhanced.ini/links/Extended.ini
-1,PACENOTE,CALLOUT_ADJUST,Ansageberichtigung,,0,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,PACENOTE,CALLOUT_ADJUST,Ansageberichtigung,,0,pacenotes/Rbr.ini/links/Extended.ini
-1,PACENOTE,CALLOUT_ADJUST,Ansageberichtigung,,0,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/links/Extended.ini
-1,PACENOTE,CALLOUT_ADJUST,Ansageberichtigung,,0,pacenotes/Rbr-Enhanced.ini/links/Extended.ini
-1,PACENOTE,CALLOUT_DISTANCE,Ansageentfernung,,0,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,PACENOTE,CALLOUT_DISTANCE,Ansageentfernung,,0,pacenotes/Rbr.ini/links/Extended.ini
-1,PACENOTE,CALLOUT_DISTANCE,Ansageentfernung,,0,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/links/Extended.ini
-1,PACENOTE,CALLOUT_DISTANCE,Ansageentfernung,,0,pacenotes/Rbr-Enhanced.ini/links/Extended.ini
-1,PACENOTE,CALLOUT_TIME,Ansagezeit,,0,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,PACENOTE,CALLOUT_TIME,Ansagezeit,,0,pacenotes/Rbr.ini/links/Extended.ini
-1,PACENOTE,CALLOUT_TIME,Ansagezeit,,0,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/links/Extended.ini
-1,PACENOTE,CALLOUT_TIME,Ansagezeit,,0,pacenotes/Rbr-Enhanced.ini/links/Extended.ini
